customer_id,customer_firstname,customer_lastname,customer_email,customer_address,customer_city,customer_state,customer_zip,customer_phone
CUST0001,Timothy,Hill,mdavila@example.com,32678 Jacob Motorway,Kennethfurt,MT,04060,001-664-750-6877x340
CUST0002,Courtney,Allen,contrerasnoah@example.com,242 Aguilar Mountains,Davisside,FM,79143,969-419-8548
CUST0003,Joel,Tanner,hendersonveronica@example.net,55651 Heidi Manor Suite 497,North Rebeccaview,CA,59712,(631)787-4350x7421
CUST0004,Ryan,Wright,anthony29@example.org,70933 Victoria Orchard,Patriciatown,OH,05821,(862)646-2951
CUST0005,Julie,Gentry,jrogers@example.com,3803 Daniel Stravenue Suite 243,Taylorberg,UT,64838,631.529.0060x808
CUST0006,Meagan,Johnson,elizabeth85@example.com,137 Nicole Way Apt. 942,Port Emilyport,NE,37903,541-752-4036x7164
CUST0007,Matthew,Vasquez,qgarza@example.com,7667 Henderson Square Apt. 053,West Anthony,CO,41786,001-349-621-5573x152
CUST0008,Bruce,Harrell,mmcdaniel@example.com,27488 Brown Throughway,Adamhaven,LA,42816,750.739.8932x0375
CUST0009,Thomas,Frey,normahart@example.org,7642 Andrew Landing Apt. 634,Michaelfurt,WA,55918,+1-299-788-5723
CUST0010,Margaret,Hernandez,jean25@example.org,05990 Alex Viaduct Apt. 974,New Deanna,DC,56095,524-868-8814x31655
CUST0011,Stephen,Lewis,zwaller@example.net,9504 Mcdowell Common Suite 282,Jessicamouth,PR,64204,001-609-722-8935x8082
CUST0012,Jessica,Lee,zacharybrooks@example.net,9818 Joseph Circles,Bradychester,VA,03916,+1-572-617-3714x214
CUST0013,Emily,Mayo,christopher55@example.net,773 Jason Squares Apt. 443,Wilsonfort,WA,56887,001-476-627-7459x485
CUST0014,Timothy,Turner,jenna49@example.net,1073 Joshua Street,West Tracy,SC,20378,709-252-4098x4226
CUST0015,Kristi,Curry,rdavidson@example.org,1556 Anderson Square,Ericatown,NH,82529,4475405859
CUST0016,Manuel,Sanders,scurtis@example.org,393 Wendy Shoal,Stephanieside,WV,17701,464-356-9204
CUST0017,Christine,Simmons,xburke@example.net,41390 Moses Summit Apt. 219,Garciaburgh,ID,59803,602-870-1958x572
CUST0018,Juan,Allen,breanna93@example.net,1027 Anna Rapids Suite 101,Christinemouth,MD,75012,356-484-3998x031
CUST0019,Cheryl,White,theresa67@example.net,113 Li Forge Suite 066,New Nathanielshire,UT,24119,4705551158
CUST0020,Amy,Fernandez,kimberly33@example.org,36307 Delgado Manors Suite 033,Rebeccaside,UT,11147,6982618919
CUST0021,Lori,Johnson,lwoodard@example.com,918 Andrew Row,Wendyfurt,NC,29063,704.800.5698x29114
CUST0022,Alexandria,Reed,smeyer@example.net,758 Washington Centers,South Nathanchester,NC,56513,3472737613
CUST0023,Emily,Summers,tracymitchell@example.org,0808 Stephanie Lights Suite 475,Boothside,KY,90235,323.607.5800
CUST0024,Jennifer,Guerrero,cdavis@example.org,946 Anderson Run Apt. 552,Gonzalezport,RI,30251,423-227-7882x7915
CUST0025,Karen,Vaughn,thomashester@example.net,1006 Smith Ridges Apt. 620,Port Wanda,PW,80772,850-669-4330
CUST0026,Ryan,Webster,gmeyers@example.com,1591 Downs Rapid,New Angelamouth,MD,29959,817-828-2225
CUST0027,Suzanne,Ramirez,kimberlycalderon@example.com,4218 Kent View,West Jacquelineville,NV,47238,(645)403-3644x073
CUST0028,Shelly,Snyder,rodneystevenson@example.net,05488 Vega Lights,Lake Jessicaburgh,OK,17967,933-561-1212
CUST0029,Thomas,Wu,jose87@example.net,791 Anderson Trail,North Dianeborough,HI,44599,001-391-979-3543x336
CUST0030,Sara,Hernandez,charlesmalone@example.org,63737 William Ridges Apt. 585,Brianmouth,WY,28666,492.494.3213x376
